// Expected final output after normalization
// Skipped rows are zeroed, passing rows are normalized

// Row[0] — SKIPPED
 0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000

// Row[1] — SKIPPED
 0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000

// Row[2] — NORMALIZED
-0.179245 -0.063019 -0.094445  0.142959  0.099740  0.142681 -0.066425 -0.211486

// Row[3] — NORMALIZED
-0.271614 -0.148334  0.255489  0.062935 -0.077157  0.085790 -0.087618  0.011063

// Row[4] — SKIPPED
 0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000

// Row[5] — NORMALIZED
-0.137616 -0.124532  0.146720  0.043048  0.208894  0.037387  0.097065 -0.204739

// Row[6] — NORMALIZED
 0.117186  0.019795 -0.137408 -0.058268 -0.282967  0.109172  0.161327  0.113878

// Row[7] — NORMALIZED
-0.242116 -0.000964 -0.101381  0.028201 -0.095623  0.303820  0.138111  0.089784

